#r     goo      goh      ghh
21.90 0.9999   1.0000   1.0002
21.93 0.9998   1.0001   1.0002
21.96 1.0003   1.0002   1.0003
21.99 0.9999   1.0001   0.9999
22.02 1.0003   1.0002   1.0000
22.05 1.0001   1.0001   1.0002
22.08 1.0003   1.0003   1.0001
22.11 1.0003   1.0001   1.0000
22.14 0.9999   1.0002   1.0002
22.17 0.9999   1.0001   1.0001
22.20 1.0004   1.0001   1.0002
22.23 1.0003   1.0001   1.0000
22.26 1.0002   1.0000   1.0000
22.29 1.0003   0.9999   1.0001
22.32 1.0004   1.0002   1.0002
22.35 1.0002   0.9999   1.0001
22.38 1.0005   0.9999   0.9999
22.41 1.0007   1.0001   1.0001
22.44 1.0007   0.9999   0.9999
22.47 1.0003   1.0000   1.0001
22.50 1.0007   1.0000   1.0000
22.53 1.0007   0.9999   1.0000
22.56 1.0006   0.9999   1.0000
22.59 1.0008   1.0001   1.0001
22.62 1.0005   1.0001   1.0001
22.65 1.0002   1.0000   1.0000
22.68 1.0005   1.0002   1.0002
22.71 1.0006   1.0003   1.0001
22.74 1.0007   1.0005   1.0003
22.77 1.0002   1.0002   1.0000
22.80 1.0002   1.0000   1.0001
22.83 1.0000   1.0000   0.9999
22.86 1.0001   1.0003   1.0000
22.89 1.0004   1.0002   1.0000
22.92 0.9999   0.9997   0.9996
22.95 1.0005   1.0004   1.0001
22.98 1.0001   1.0001   0.9996
23.01 1.0002   0.9999   0.9996
23.04 1.0002   1.0000   0.9997
23.07 0.9998   0.9996   0.9994
23.10 1.0002   0.9999   0.9997
23.13 0.9997   1.0002   1.0000
23.16 1.0003   1.0007   1.0003
23.19 1.0000   1.0000   0.9999
23.22 0.9997   1.0000   0.9997
23.25 0.9998   0.9999   0.9998
23.28 0.9994   0.9995   0.9995
23.31 1.0001   0.9999   0.9999
23.34 0.9994   0.9996   0.9995
23.37 1.0000   0.9997   0.9999
23.40 0.9996   0.9997   0.9995
23.43 0.9994   0.9996   0.9997
23.46 0.9991   0.9990   0.9994
23.49 0.9994   0.9997   0.9999
23.52 0.9992   0.9996   0.9998
23.55 0.9995   0.9998   1.0002
23.58 0.9990   0.9995   0.9997
23.61 0.9988   0.9996   1.0001
23.64 0.9995   0.9998   1.0003
23.67 0.9989   0.9995   1.0001
23.70 0.9982   0.9992   0.9997
23.73 0.9986   0.9991   0.9997
23.76 0.9985   0.9998   1.0000
23.79 0.9989   1.0001   1.0003
23.82 0.9988   0.9999   1.0002
23.85 0.9991   0.9997   0.9998
23.88 0.9986   0.9993   0.9999
23.91 0.9987   0.9998   1.0001
23.94 0.9989   1.0001   1.0003
23.97 0.9991   0.9997   1.0002
24.00 0.9989   0.9996   1.0000
24.03 0.9992   0.9999   1.0002
24.06 0.9995   0.9996   1.0000
24.09 0.9993   0.9997   1.0000
24.12 1.0002   1.0004   1.0007
24.15 0.9995   0.9998   1.0002
24.18 0.9994   0.9996   1.0001
24.21 1.0002   1.0003   1.0003
24.24 0.9991   0.9997   1.0000
24.27 1.0007   1.0005   1.0006
24.30 1.0001   1.0002   1.0005
24.33 1.0001   1.0002   1.0000
24.36 1.0005   1.0000   1.0000
24.39 1.0006   1.0000   1.0003
