#r     goo      goh      ghh
4.98  1.0252   0.9761   0.9847
5.01  1.0142   0.9780   0.9821
5.04  1.0027   0.9800   0.9794
5.07  0.9916   0.9823   0.9769
5.10  0.9808   0.9846   0.9745
5.13  0.9702   0.9869   0.9724
5.16  0.9599   0.9890   0.9702
5.19  0.9495   0.9912   0.9686
5.22  0.9403   0.9934   0.9668
5.25  0.9317   0.9952   0.9658
5.28  0.9240   0.9971   0.9648
5.31  0.9165   0.9989   0.9639
5.34  0.9093   1.0004   0.9636
5.37  0.9033   1.0015   0.9635
5.40  0.8980   1.0026   0.9632
5.43  0.8932   1.0035   0.9637
5.46  0.8896   1.0038   0.9641
5.49  0.8868   1.0039   0.9652
5.52  0.8847   1.0038   0.9663
5.55  0.8837   1.0035   0.9676
5.58  0.8834   1.0028   0.9692
5.61  0.8841   1.0019   0.9708
5.64  0.8858   1.0006   0.9725
5.67  0.8881   0.9989   0.9746
5.70  0.8907   0.9972   0.9767
5.73  0.8946   0.9954   0.9790
5.76  0.8991   0.9935   0.9810
5.79  0.9041   0.9912   0.9834
5.82  0.9099   0.9894   0.9860
5.85  0.9160   0.9868   0.9881
5.88  0.9222   0.9848   0.9901
5.91  0.9294   0.9827   0.9923
5.94  0.9362   0.9806   0.9943
5.97  0.9437   0.9788   0.9960
6.00  0.9510   0.9772   0.9977
6.03  0.9582   0.9759   0.9993
6.06  0.9653   0.9746   1.0005
6.09  0.9722   0.9738   1.0016
6.12  0.9795   0.9734   1.0026
6.15  0.9862   0.9731   1.0033
6.18  0.9930   0.9731   1.0037
6.21  0.9999   0.9737   1.0039
6.24  1.0053   0.9742   1.0039
6.27  1.0114   0.9752   1.0039
6.30  1.0177   0.9763   1.0038
6.33  1.0226   0.9778   1.0035
6.36  1.0277   0.9792   1.0030
6.39  1.0326   0.9812   1.0025
6.42  1.0371   0.9829   1.0021
6.45  1.0411   0.9850   1.0013
6.48  1.0449   0.9872   1.0007
6.51  1.0483   0.9893   1.0000
6.54  1.0515   0.9915   0.9995
6.57  1.0539   0.9937   0.9990
6.60  1.0561   0.9961   0.9987
6.63  1.0578   0.9982   0.9982
6.66  1.0592   1.0004   0.9982
6.69  1.0605   1.0025   0.9980
6.72  1.0609   1.0046   0.9976
6.75  1.0611   1.0066   0.9979
6.78  1.0607   1.0083   0.9979
6.81  1.0603   1.0100   0.9979
6.84  1.0589   1.0115   0.9982
6.87  1.0579   1.0131   0.9984
6.90  1.0560   1.0143   0.9989
6.93  1.0542   1.0155   0.9993
6.96  1.0520   1.0167   1.0000
6.99  1.0497   1.0176   1.0004
7.02  1.0467   1.0184   1.0010
7.05  1.0441   1.0191   1.0016
7.08  1.0407   1.0198   1.0021
7.11  1.0376   1.0203   1.0028
7.14  1.0347   1.0204   1.0033
7.17  1.0310   1.0205   1.0041
7.20  1.0276   1.0208   1.0046
7.23  1.0243   1.0209   1.0053
7.26  1.0205   1.0208   1.0058
7.29  1.0171   1.0205   1.0062
7.32  1.0136   1.0202   1.0069
7.35  1.0102   1.0198   1.0072
7.38  1.0066   1.0195   1.0076
7.41  1.0036   1.0189   1.0078
7.44  1.0005   1.0184   1.0081
7.47  0.9976   1.0177   1.0083
7.50  0.9947   1.0171   1.0084
7.53  0.9919   1.0163   1.0087
7.56  0.9895   1.0156   1.0088
7.59  0.9870   1.0146   1.0087
7.62  0.9849   1.0137   1.0087  
7.65  0.9832   1.0129   1.0088
7.68  0.9812   1.0117   1.0085
7.71  0.9801   1.0107   1.0084
7.74  0.9786   1.0096   1.0082
7.77  0.9775   1.0084   1.0081
7.80  0.9770   1.0075   1.0079
7.83  0.9763   1.0063   1.0077
